1,P1,a@mgt.com,10/10/14,10/17/14,New
2,P2,a@mgt.com,10/12/14,10/18/14,New
3,P3,a@mgt.com,10/13/14,10/19/14,New
4,P4,a@mgt.com,10/14/14,10/20/14,New
5,P5,a@mgt.com,10/15/14,10/20/14,New
6,P6,b@mgt.com,10/16/14,10/22/14,New
7,P7,b@mgt.com,10/17/14,10/17/14,New
8,P8,b@mgt.com,10/18/14,10/18/14,New
9,P9,b@mgt.com,10/19/14,10/19/14,New
10,P10,b@mgt.com,10/20/14,10/20/14,New
11,P11,c@mgt.com,10/20/14,10/25/14,New
12,P12,c@mgt.com,10/22/14,10/26/14,New
13,P13,c@mgt.com,10/23/14,10/27/14,New
14,P14,d@mgt.com,10/24/14,10/28/14,New
15,P15,d@mgt.com,10/25/14,10/29/14,New
16,P16,d@mgt.com,10/26/14,10/30/14,New
17,P17,d@mgt.com,10/27/14,10/30/14,New
18,P18,d@mgt.com,10/28/14,11/30/14,New
19,P19,d@mgt.com,10/29/14,11/30/14,New
20,P20,d@mgt.com,10/30/14,11/30/14,New
21,Buy Groceries,a@mgt.com,10/10/14,10/17/14,New
